구,주소,상호,휘발유,경유,위도,경도
사상구,부산 사상구 가야대로 150 (학장동),구룡주유소,1568,1428,35.1491508,128.9888716
사상구,부산 사상구 사상로 105,엔씨네트웍스(주)직영주유소,1568,1429,35.1562205,128.9901519
사상구,부산 사상구 강변대로 412 (엄궁동),지에스칼텍스(주)강변주유소,1574,1434,35.1222741,128.9619186
사상구,부산 사상구 강변대로 458 (엄궁동),지에스칼텍스(주)자이언트주유소,1574,1434,35.1258883,128.9632154
사상구,부산 사상구 낙동대로 994 (감전동),(주)부영에너지,1578,1438,35.1493405,128.971717
사상구,부산 사상구 낙동대로 1520 (삼락동),흥일주유소 주식회사,1598,1488,35.193805,128.9844389
사상구,부산 사상구 학장로 107,한라주유소,1627,1487,35.1411743,128.9788572
사상구,부산 사상구 새벽로 1 (학장동),아산주유소,1627,1487,35.1415779,128.9793112
사상구,부산 사상구 낙동대로 1316,중앙주유소,1628,1498,35.1775234,128.9766067
사상구,부산 사상구 백양대로 386 (주례동),경동주유소,1634,1474,35.1520303,129.0015317
사상구,부산 사상구 낙동대로 879 (감전동),산업주유소,1638,1518,35.1390636,128.9702163
사상구,부산 사상구 모덕로 69 (모라동),성경주유소,1638,1538,35.1817704,128.9839416
사상구,부산 사상구 새벽로 2,대흥오일뱅크주유소,1638,1518,35.1415899,128.9799761
사상구,부산 사상구 농산물시장로25번길 94,농산물주유소,1678,1558,35.1311674,128.9682262
사상구,부산 사상구 낙동대로 920 (감전동),새동창주유소,1678,1538,35.1546612,128.9795394
사상구,부산 사상구 낙동대로 978 (감전동),HD현대오일뱅크㈜직영 감전주유소,1679,1518,35.1474568,128.9709766
사상구,부산 사상구 낙동대로 1320,대림주유소,1679,1549,35.1779337,128.9765592
사상구,부산 사상구 낙동대로 935,광신홀딩스㈜ 직영 낙동대로주유소,1689,1544,35.1440055,128.9692699
사상구,부산 사상구 학감대로 73 (학장동),행복한셀프주유소,1689,1549,35.1388675,128.9918634
사상구,부산 사상구 낙동대로 1380,지에스칼텍스(주)서부주유소,1739,1599,35.1833254,128.9766853
사상구,부산 사상구 새벽로 207 (괘법동),아시아사상주유소,1797,1687,35.1597328,128.9837318
